ID,Code,COMPANY,INDUSTRY,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,REVENUE,EMPLOYEE,$/EMPL,CONTACT,POS,EMAIL
C,,"Air Centers of South Carolina, Inc.",Ingersoll Rand,1447 South Batesville Rd,Greer,SC,29650,(864) 848-9670,www.aircentersofsc.com,6.9,27,0.26,Karen Bailey,President,
C,,Air Compressor Engineering,air compressors and air system accessories,17 Meadow St,Westfield,MA,1085,(413) 568-2884,www.aircompressoreng.com,11,59,0.19,Russell Klaubert,President,rklaubert@aircompressorengineering.com
C,,Air Compressor Equipment,"Quincy, oil field compressors, industrial compressors, services",3401 Kelly Hwy,Fort Smith,AR,72914,(479) 783-6181,www.acec-ark.com,7.4,25,0.30,Johnny Jones,President/ Owner,jsjones@acec-ark.com
C,,Air Compressor Sales Inc.,"Gardner Denver, FSELLIOT, DOOSAN, AIRCEL",5490 Thomaston Rd,Macon,GA,31220,(478) 474-8460,www.aircompsales.com,7.4,25,0.30,Bob Lee,President,blee@aircompsales.com
C,,Air Compressor Service (aqcuired by Northwest Pump),"Sullair, Blackmer, Champion, beko Technologies, Manchester Tank, Parker, EnergAir, Samuel Pressure Vessel Group",1420 80th St. SW Suite E,Everett,WA,98203,(425) 290-1888,https://www.nwpump.com/about-us/locations/air-compressor-service-washington/,5,25,0.20,Rick Smith,Owner,
C,,Air Compressor Solutions,Ingersoll Rand,3001 Kermit Hwy,Odessa,TX,79764,(432) 335-5900,www.acsir.com,7.3,25,0.29,Brain Stubbs,President/Owner,brian_stubbs@acsir.com
C,,Air Compressor Supply,"Gardner Denver, Howden, Bekomat",3916 S. I-35 Service Rd.,Oklahoma City,OK,73129,(405) 672-0382,www.aircompressorsupply.com,5,25,0.20,Randy Coit,Owner,
D,,Air Engineering & Supply,"Parker, Pneumatics, automation, process and instrumentation, custom components, robotics",7521 Commerce Ln,Fridley,MN,55432,(612) 332-4181,www.airengr.com,3,15,0.20,Dave Maurer,President,david@airengr.com
C,,Air Equipment Co,Gardner Denver,2350 S. Orchard St.,Boise,ID,83705,(208) 342-2464,www.airequipco.weebly.com/,5,25,0.20,Jann Osterburg,Owner,
C,,Air Equipment Sales & Service,Quincy,109 Armco Blvd,Ashland ,KY,41105,(606) 329-9500,www.airequipmentsales.com,5,25,0.20,Keith Stone,Owner,kstone@airequipmentsales.com
C,,Air Handling Equipment Inc,"Gardner Denver, compressed air solutions",1389 Riverside Dr,Sidney,OH,45365,(937) 492-5331,www.ahequip.net,6.9,25,0.28,Doug Barhorst,President,
F,,Air Hydraulics Company,Goodyear,8170 Zionsville Rd.,Indianapolis,IN,46268,(765) 560-3684,www.advantagefluidsystems.com,1,10,0.10,Doug Hodgdon,Owner,
D,,Air Hydro Power Inc.,Parker; Kawasaki; Mitsubishi,2550 Blankenbaker Pkwy.,Louisville,KY,40299,(502) 451-1000,www.airhydropower.com,65,200,0.33,Thomas McGuire,Owner,tmcguire@airhydropower.com
C,,"Air Industrial Resource, Inc.",Sullair,5015 Raytown Rd.,Kansas City,MO,64133,(816) 356-6600,www.compressors.com,10,50,0.20,Sam Rutherford,President/ CEO,prez@compressors.com
C,,Air- Mach Inc.,Sullair,2345 Delaware Ave.,Des Moines,IA,50317,(515) 263-8880,www.airmach.com,1,10,0.10,Marty Brooker,Owner,mlbrooker@airmach.com
C,,Air- Mach Inc.,Sullair,2345 Delaware Ave.,Des Moines,IA,50317,(515) 263-8880,www.airmach.com,1,10,0.10,Ryan Brooker,President,rlbrooker@airmach.com
D,,"Air Power, Inc.",SMC,1430 Trinity Ave.,High Point ,NC,27260,(336) 886-5081,www.airpower-usa.com,50,175,0.29,"William Ball, Jr.",President/ Owner,w.balljr@airpower-usa.com
C,,Air Services Company,Gardner Denver,211 Seegers Ave.,Elk Grove Village,IL,60007,847-725-2100,www.airservicesco.com,10,35,0.29,Ken Byrd,Owner,kbyrd@airservicesco.com
D,,"Air Specialists Worldwide, Inc.",Parker,1675 Larkin Williams Rd.,Fenton,MO,63026,(636) 326-5900,www.airspec.com,5,15,0.33,John D. Hirlinger,President ,jhirlinger@airspec.com
C,,Air Systems LLC,Ingersoll Rand,4512 Bishop Lane,Louisville,KY,40218,(502) 452-6312,www.airsystems-llc.com,20,50,0.40,Alan Steiden,President/ Owner,asteiden@airsystems-llc.com
D,,Airline Hydraulics Corporation,Bosch Rexroth,3557 Progress Drive,Bensalem,PA,19020,(215) 638-4700,https://www.airlinehyd.com/,300,272,1.10,Mark Steffens,Chief Executive Officer,msteffens@airlinehyd.com
C,,Airtek Inc.,Gardner Denver,76 Clair St,Irwin,PA,15642,724-863-1350,www.air-tek.com,7.9,21,0.38,Robert Whisner,President,
F,,AIS Construction Equipment Corp.,Goodyear; Kuriyama,6074 Baumgartner Industrial Dr.,St. Louis ,MO,63129,(314) 487-9100,https://www.airhydraulics-fasteners.net,5,10,0.50,Tom Moore,Owner,
I,,AIV Solutions,Integrator Guide,6553 Star Ct.,Laredo,TX,78040,(713) 219 9830,www.aitecsys.com,1,25,0.04,Arturo Zuniga,Senior Automation Engineer,
D,,Alabama Bolt Supply,"hydraulics, pneumatics, hose and fittings, and industrial fasteners",630 Air Base Boulevard,Montgomery,AL,36108,(334) 269-9560,https://www.airhydropower.com/alabama-bolt-and-supply,8,25,0.32,Smokey Rigdon,President ,srigdon@albolt.com
I,,AIV Solutions,"Rockwell Automation, ABB, DeltaV","20,000 Horizon Way, Suite 100",Mt. Laurel,NJ,8054,(856) 234-2806,http://www.aivsolutions.com/,3,17,0.18,Arch Chawla,Manager-Automation,achawla@aivsolutions.com
I,,"Aladdin Engineering & Manufacturing, Inc.",designed and built custom machines and systems for major players,1100B South Prairie Avenue,Waukesha,WI,53186,(262)-544-5994 ext: 209,www.aladdinengmfg.com,5,25,0.20,Edward Horn ,Sales Manager,echorn@AEM-Aladco.com
D,,Alaska Hydraulics Inc.,fluid power company,568 E Whitney Rd,Anchorage,AK,99518,(907) 486-5970,www.alaskahydraulics.com,3,30,0.10,Thomas Loran,Owner,tloran@alaskahydraulics.com
I,,Alandia Engineering,"Automation, Instrumentation and Integration","11555 Heron Bay Blvd, Suit 200",Coral Springs,FL,33065,(195) 420 52292,www.alandiaengineering.com,5,25,0.20,Acacio A. da Costa Almeida ,Instrumentation and Automation General Manager,acacio.costa@alandiaengineering.com
I,,Alaska Power & Telephone (AP&T),"Delivery of Clean Renewable Energy, Local & Long Distance Calling Services, High Speed Broadband Services, Data Transport & Backhaul Network Services, Mountain Top Space & Power Availability, and WiFi",3000 Vintage Blvd,Juneau,AK,99803,(907) 789-1951,https://www.aptalaska.com/,29,153,0.19,Bob Grimm,CEO,bob.g@aptalaska.com
N,,Alco Manufacturing,"NAHAD,Brochure",5811 Old Seward Highway,Anchorage,AK,99518,(907) 562-2200,www.alaskarubber.com,25,120,0.21,Janeece Higgins,President/ CEO,jhiggins@alaskarubber.com
M,,ALE Hydraulic Machinery Company,Hydraulic Machinery Compan,6215 Airport Rd.,Jackson,PA,19057,215-547-3351,www.alehydraulic.com/,2,33,0.06,-,,
I,,Albireo Energy, provider of technology solutions optimizing performance and reliability,12575 Kirkham Ct.,Poway,CA,92064,(858) 513-1911,https://www.albireoenergy.com/,138,800,0.17,Phil Rogers,CEO,progers@albireoenergy.com
D,,All Air Incorporated,distributor of pneumatic and electronic automation components.,175 Clearbrook Rd.,Elmsford,NY,10523,(914) 347-2445,www.allair.com,10,20,0.50,Cliff Steinkamp,President,csteinkamp@allair.com
F,,All Hose & Specialty,"Gates,Brochure",651 A 1 South Drive Sw,Grand Rapids,MI,49548,(616) 530-0858,www.aisequip.com,13,80,0.16,Larry Behrenwald,Owner,lbehrenwald@aisequip.com
C,,"All Type Compressor Service Company, Inc.",Ingersoll Rand,1712 North Main St.,Dupo,IL,62239,(618) 286-5269,www.alltypecompressor.com,10,20,0.50,Robert Layton,President,alltype@htc.net
N,,All-Serv Industrial,"industrial hoses, supplies, and custom fabrication",3221 Petro Drive,Sulphur,LA,70665,(337) 882-5100,www.allservindustrial.com,10,20,0.50,Mike Kelly,Owner,mkelly@allservindustrial.com
N,,"All Valley Hose & Industrial Supply, LLC","source for all of your brass and steel fittings and adapters, hose, and custom hose assembly needs",6549 North Orange Blossom Trail,Orlando,FL,91406,(877) 778-HOSE,www.allvalleyhose.com,2,10,0.20,Perry Voogt,Partner,pvoogt@allvalleyhose.com
I,,"Allan Integrated Control Systems, Inc.",Integrator Guide,PO Box 1082,Chardon,OH,44024,(216)-373-3606,www.all-controls-corp.com,1,25,0.04,James Hartory ,CEO,j_hartory@all-controls-corp.com
D,,Allen & Webb Company,"hydraulic, pneumatic, power transmission, and material handling component sales and service",3127 Rivers Ave,North Charleston,SC,29405,(843) 747-7321,www.allenwebb.com,6,35,0.17,Charles Swicord,President/ Owner,cswicord@allenwebb.com
M,,Alkon Corporation,"multinational manufacturer and global supplier of superior quality valves, fittings and flow controls",728 Graham Dr,Fremont,OH,43420,(419) 333-7000,www.alkoncorp.com,30,150,0.20,Daniel Starkweather,National Sales Manager,daniels@alkoncorp.com
M,,Allenair Corporation,"pneumatic & hydraulic cylinders, solenoid valves, rotary index tables, linear pumps, cylinder checks & cylinder mounts manufactured for food & corrosive liquid handling",728 Graham Dr,Fremont,OH,11501,516-747-5450,www.allenair.com,13.2,100,0.13,Ronald Butner,,info@allenair.com
I,,Allan ICS,deliver complex mission-critical automation systems,2021 Beulah Ave.,East Troy,WI,53120,(262) 642-7800,http://www.allan-ics.com/,4,22,0.18,Ann Zess,President,azess1@wi.rr.com
N,,Alliance Hose & Rubber,"NAHAD,Brochure","16735 Saticoy St., #107",Van Nuys,CA,91406,(877) 778-HOSE,www.allvalleyhose.com,2,10,0.20,Randy Voogt,Partner,rvoogt@allvalleyhose.com
I,,"Alliance Automation & Control, Inc",automation design solutions,287 Tracey Lane,Rogersville,AL,35652,(256)-247-1898,www.alliance-automation.com,1,25,0.04,Larry Evans ,Sr. Electrical Engineer/Owner,levans@alliance-automation.com
A,,Allied Automation,Festo; Mitsubishi; ReThink,5220 East 64th St.,Indianapolis,IN,46620,(800) 214-0322,www.allied-automation.com,10,50,0.20,Greg Dill,President,gregd@allied-automation.com
I,,Allied Controls LLC,complete turnkey control system integration and technical services,611 Garfield Ave,West Point,PA,19486,(215) 699-2855,http://www.alliedcontrol.com/,4,25,0.16,Paul Mamzic, ,pmamzic@alliedcontrol.com
F,,Allied Hose & Belting Company,,5425 Highway 90 East,Broussard,LA,70518,(337) 837-4673,www.allhose.net,10,10,1.00,Mba Octave,Director,soctave@ghxinc.com
F,,Allied Hose & Belting Company,"products ranging from hoses, to gaskets, to belting, and more",5444 Hwy 70,West Waverly,TN,37185,(731) 424-2050,www.alliedhoseandbelting.com,5,15,0.33,David Oesch,President/ Owner,
N,,Alliance Hose & Rubber Co,"NAHAD,Brochure",945 N Larch Ave.,Elmhurst,IL,60126,(866) 666-5030,www.alliancehose.com,4,25,0.16,Dave Heckler,President,dheckler@alliancehose.com
D,,Allied Supply Company,"wholesale distributor of heating, ventilating, air conditioning, refrigeration, air filtration and building management controls",1100 East Monument Ave.,Dayton,OH,45402,(937) 224-9833,www.alliedsupply.com,50,100,0.50,Thomas Homan,President/ CEO,tomh@alliedsupply.com
I,,Allied Controls LLC,full-service system integrator,70 Hi-Line Drive,Union,MO,63084,(314) 415-2187,http://www.alliedcontrolsllc.com/,0.46,3,0.15,Jerry Skoch,Owner,jskoch@alliedcontrolsllc.com
N,,Allied Rubber & Supply Co,hoses and fittings,107 Hindman Ln,Butler,PA,16001,(724) 482-2965,www.alliedrubber.com,4,20,0.20,David Marki,VP / General Manager,dmarki@alliedrubber.com
I,,Allied Technology,designing and building custom machinery,"2150 West 6th Ave., Suite P",Broomfield,CO,80020,(303) 931-0277,www.allied-technology.com,10,50,0.20,Michael Halley,President/ Owner,mikehalley@allied-technology.com
I,,Alpha Integration Systems,"Pipeline Construction, Oil and Gas Facilities, I&E, Oil Field Automation, Refinery Automation, Oil and Gas Plant Automation, UL Listed Panel Shop, Process Equipment Manufacturing, Pipeline Maintenance, Facility Maintenance, and Complex Control Panel Manufacturing",Corpus Christi TX,Corpus Christi,TX,78409,(361) 241-6812,www.aisyst.net,2,12,0.17,Patrick Frasier,President,pat@aisyst.net
I,,"Alpha Technical Group, Inc","process piping & instrumentation design, electrical & control system design, civil/structural design for equipment support structures and foundations, and heavy civil and structural design of marine and rail facilities and structures. Projects often involve software programming for plant computers and programmable controllers (PLC) in process plant controls.",2929 NW 29th Ave,Portland,OR,97210,(503) 227-3317,http://alphatechnicalgroup.com/,7,25,0.28,Brandon Carter,Vice President - Control Systems Specialist,bdcarter.atgi@gmail.com
I,,Alpha-Tran Engineering,Integrator Guide,12575 Cleveland Street,Nunica,MI,49448,(616)-837-7341,www.alpha-tran.com,1,25,0.04,Allen LeMieux ,Administration/Sales,adlemieux@Alpha-Tran.com
I,,"Alpine Technology, Inc.",Integrator Guide,PO Box 160878,Austin,TX,78716,(512) 328-5829,www.alpinetechnology.com,13.6,30,0.45,Peter Brady ,President,
S,,Alta Energy Services,Commercial,140-A Old Oxford Valley Rd,Langhorne,PA,19047,(267)-294-7799,http://alienfuelsolar.com/,1,4,0.25,Robert V. Petrosky,Vice President,
I,,Alta Vision Systems,Integrator Guide,7 Pequot Park Rd Suite 101,Westbrook,CT,6498,(860)-604-5808,www.altavisionsystems.com,1,25,0.04,Stephen Bergeron ,President,sbergeron@altavisionsystems.com
I,,"Altair Industries, Inc.",Integrator Guide,"217 Racquette Dr, #5",Fort Collins,CO,80524,(970)-217-1623,www.altairindustriesinc.com,1,25,0.04,,,
I,,"Altavista Instruments and Controls, Inc.","PLC Programming, Instrument Installation,Troubleshooting & Repair","1510 Main Street, STE 101",Altavista,VA,24517,(434) 369-6089,http://www.aic-company.com/,4,21,0.19,Jim Wertz,President,jim.wertz@aic-company.com
S,,Alten Energy,Solar Contractor,1333 S Miami Ave,Miami,FL,33130,(844) 654-9346,http://altenenergy.us/,5,25,0.20,Jean David,Founder,
I,,Alterman Electric,"PLC Programming, Instrument Installation,Troubleshooting & Repair","1510 Main Street, STE 101",Altavista,VA,24517,(434) 369-6089,http://www.aic-company.com/,4,21,0.19,Jim Wertz,President,jim.wertz@aic-company.com
S,,Wtec,Utility,"777 Terrace Avenue, Suite 101",Hasbrouck Heights,NJ,7604,(201) 242-9906,http://wtecenergy.com/,64.9,267,0.24,Sherie Cho,COO,
S,,Alternative Energy Services,Commercial,"1417 Chaffee Drive, Suite 1",Titusville,FL,32780,(407)-379-1710,https://www.alternativeenergyservicesinc.com/,5.4,25,0.22,Bob Cavaliere,,
I,,"Altronex Control Systems Division of L.W. Allen, LLC","Pumps: Fairbanks Morse, Hydromatic, Netzsch, and Penn Valley",4633 Tompkins Dr,Madison,WI,53716,(608) 222-8622,http://www.lwallen.com/,8,32,0.25,Jim Cook,President,jcook@lwallen.com
I,,"Altronic Controls, Inc",Ignition and Control Systems,712 Trumbell Ave,Girard,OH,44420,(330) 545-9768,www.altronic.com,126.9,25,5.08,Johnny Dyes,President,
D,,Alufab Inc.,Bosch ,1018 Seabrook Way,Cincinnati,OH,45245,(513) 528-7281,www.alufabinc.com,5,10,0.50,Doug Nimmo,President,
D,,Am- Dyn- Inc. Fluid Power Inc.,Hydraulic and Pneumatic Power Needs,25340 Terra Industrial Dr.,Chesterfield,MI,48051,(586) 949-6860,www.adifp.com,9.2,32,0.29,Bart Durasa,President,bart@adifp.com
N,,Amazon Hose & Rubber Company,"NAHAD,Gates,Brochure",20 N. 48th Ave,Phoenix,AZ,85043,(602) 269-6900,www.alternativehose.com,5,20,0.25,John Fuller,CEO,john@alternativehose.com
N,,Amazon Hose & Rubber Company,"NAHAD,Brochure",4105 Seaboard Rd.,Orlando,FL,32808,(407) 843-8190,www.amazonhose.com,15.3,68,0.23,James A. Donlin,President,jimdonlin@amazonhose.com
I,,Ambassador Controls and Engineering,"PLC Programming, Hardware Design for Industrial Automation, Custom Software, Electrical Enclosure Design, Robotics, HMI Programming, and RFID",1506 Briar Meadow Dr,Keller,TX,76248,(214) 783-4175,http://ambassadorcontrols.com/,5,25,0.20,Laura Thomas,President,laura.thomas@ambassadorcontrols.com
I,,Amber Waves Integration,"Rockwell Automation, Amber Waves Electronics, Inductive Automation",11 South Ave W,Richardton,ND,58652,(701) 974-4230,https://www.awintegration.com/,1,6,0.17,Kalvin Hoff,President,sales@amberwavesinc.com
A,,AMCS Corp.,"Industrial Gas and Process Plants, Technology and Engineering Services",135 US Highway 202-206,Bedminster,NJ,7921,(908) 429-2100 x236,www.@amcscorp.com,5.7,25,0.23,Catherine Lassi,CFO,
I,,American Automation Inc.,Integrator Guide,7230 Winderweedle Rd.,Shreveport,LA,71129,(318)-686-1600,www.AmericanAutomationInc.net,1,25,0.04,Brian Payne ,Owner,Bpayne@americanautomationinc.net
R,,"American Equipment Company, Inc",Duroflow; Lamson,3905 Frutridge Ave.,Terre Haute,IN,47805,(812) 234-0404,www.poweredequipment.com,5,25,0.20,Lee Shipley,President,lshipley@poweredequipment.com
I,,American Mine Research Inc,"Rockwell, Wonderware,Thermofisher, Howden, Inductive",12187 N Scenic Highway,ROCKY GAP,VA,24366,(276) 928-1712,https://www.amrpemco.com/,25.1,126,0.20,David Graf,President,dgraf@amr-sales.com
N,,American Pump,"NAHAD,Brochure",13528 Lake Drive NE,Columbus,MN,55025,(763) 717-0537,www.americanpump.com,6.8,25,0.27,Steve Friemuth,Sales Manager,steve@americanpump.com
I,,American System Controls and Integration,Rockwell & Inductive Automation,"1012 11th Street, Suite 103",Modesto,CA,95354,(209) 593-1176,http://americanscii.com/,5,25,0.20,Eric Houston,CEO,ehouston@americanscii.com
I,,"AmeriChem Systems, Inc.",Integrator Guide,1740 Molitor Rd,Aurora,IL,60505,(630) 495-9300,www.americhemsystems.com,10.9,25,0.44,Dan Wagner ,President,dwagner@americhemsystems.com
I,,"Amistar Automation, Inc.",Integrator Guide,28373 Feliz Valdez B1,Temecula,CA,92590,(760) 471-1700,www.amistarautomation.com,5,25,0.20,Richard Geisz,"Vice President, Operations",
N,,Amphenol Nelson- Dunn Technologies,"NAHAD,Brochure",17707 Valley View Ave.,Cerritos,CA,90703,(714) 249-7700,www.amphenol-ecs.com,75,100,0.75,John Warren,General Manager,jwarren@amphenol-ecs.com
I,,AMR PEMCO,"Rockwell, Wonderware,Thermofisher, Howden, Inductive",12187 N Scenic Highway,Rocky Gap,VA,24366,(276) 928-1712,https://www.amrpemco.com/,25.1,126,0.20,David Graf,President,dgraf@amr-sales.com
I,,Amtec Solutions Group ( ASG ),Integrator Guide,4808 Bradford Drive NW,Huntsville,AL,35805,(256)-319-6290,www.AmtecSolutionsGroup.com,5,25,0.20,Chris Wooten,Lead Project Engineer,
I,,Amtech Tool & Die,Integrator Guide,14135 W. Kostner Lane,New Berlin,WI,53151,(262) 821 2110,www.amtechtool.com,1,25,0.04,Rick Bruening ,Owner,rick@amtechtool.com
I,,Amteck of Kentucky,Integrator Guide,1387 E New Circle Rd Ste 130,Lexington,KY,40509,(859) 255-9546,www.amteck.com,383.3,603,0.64,Daren Turner ,President,dturner@amteck.com
D,,Anastas Controls Company,Parker,8021 Ruck Dr.,Belleville,IL,62223,(618) 398-1700,www.anastascontrols.com,5,25,0.20,George Anastas,President,tech@anastascontrols.com
I,,Anchor Electric Contracting Corp,"Programmable Automation, Control Systems Integrator, Control Panel Fabricator, Industrial Automation, Instrumentation and Controls Contractor",7600 Pontrelli Place,Missoula,MT,59808,(406) 251-3166,https://www.anchorelectricmt.com/,6.1,25,0.24,Paul Lindstrom,Owner,paul@anchorlt.com
N,,"Anco International, Inc.",Fluid Transfer Couplings,19851 Cajon Blvd,San Bernadino,CA,92407,(909) 887-2521,https://www.ancointernational.com/,5.7,25,0.23,John Douglas,CFO,
I,,"Anderson Electric Controls, Inc.",Power Conversion Devices,8639 S 212th St,Kent,WA,98031,(253) 395-3003,www.aecontrols.com,7.6,28,0.27,Gary Anderson,President,
M,,"Anderson Metals Corporation, Inc.",Mining and Metals,1701 Southern Rd,Kansas City,MO,64120,(800) 821-5672,www.andersonmetals.com,30.6,25,1.22,Gail Carruth,Controller,
N,,Anderson Process,"NAHAD,Brochure",P.O. Box 523,Brookfield,WI,53045,(262) 784-3340,www.andersonprocess.com,111.1,123,0.90,Greg Michael Domino,CEO,gdomino@andersonprocess.com
F,,ANS Distributing,Petroleum equipment,407 South 107th Ave.,Tolleson,AZ,85353,(877) 267-3478,www.ansdistributing.com,10,67,0.15,Herve Durand,CEO,
I,,Anvil Corporation,Integrator Guide,1675 W. Bakerview Rd.,Bellingham,WA,98226,(360) 671-1450,www.anvilcorp.com/,46.8,224,0.21,Dena Lund,CEO,
N,,Apache (Motion Industries),"NAHAD,Brochure",4805 Bowling Street SW,Cedar Rapids,IA,52404,(866) 757-7816,www.apache-inc.com,29.4,135,0.22,Kyle Gingrich,VP,
I,,APCO,"Rockwell,Honeywell,DeltaV,Yokogawa,Siemens,GE,Schneider,Opto 22,Matrix,Modicon,Bailey,Foxboro,Control Microsystems,plus more",710 S Redwood Road,Salt Lake City,UT,84054,(801) 519-9500 x101,http://www.apco-inc.com/,3.3,18,0.18,Dale Smith,President,dale.smith@apco-inc.com
I,,Apex Controls Specialists,"Integrator Guide, extrusion automation, module control systems",5521 Industrial Road,Mt. Vernon,IN,47620,(812) 838-0148,www.acs-mtv.com,5,25,0.20,Jeff West,Manager,jwest@apex-engineering.com
I,,"Apex Controls, Inc","FANUC, Rockwell Automation, UL",3566 Highland Dr,Hudsonville,MI,49426,(616) 669-5111,http://www.apexcontrols.cc/,9.4,37,0.25,Mike TeBos,President/owner,mtebos@apexcontrols.cc
I,,APEX Manufacturing Solutions,"Software Toolbox, Rockwell Automation",300 E mallard Dr,Boise,ID,83706,(208) 344-5535,http://www.apexmfgsolutions.com/,5,15,0.33,Marya Woods,President,marya.woods@apexmfgsolutions.com
N,,APG/Ever-Tite,"NAHAD,Brochure",4805 Bowling Street SW,Cedar Rapids,IA,52404,(866) 757-7816,www.apache-inc.com,30,150,0.20,Steven R. Fournier,VP Business Development,steve.fournier@apache-inc.com
C,,"APO Pumps & Compressors, Inc.","Ingersoll Rand, pump and compressors",6607 Chittenden Rd.,Hudson,OH ,44230,(330) 422-6550,www.apopc.com,22.8,95,0.24,Ted Mailey,President,ted.mailey@apopc.com
N,,Apollo International Corporation,"NAHAD,Brochure, cargo hose, stainless steel and industrial hose, tank cleaning, expansion joins, gaskets, fire safety",1566 Richmond Terrace,Staten Island,NY,10310,(718) 273-7300,www.apollointl.com,16.1,25,0.64,Tom Otrok,CEO,
F,,"Appalachian Fluid Power, Inc.",Goodyear; Kawasaki,3364 PA-31,Acme,PA,15610,(724) 593-8333,www.appalachianfluidpower.com,1,2,0.50,Dale Knopsnider,Vice President,dalek.afp@gmail.com
I,,Applewood Controls Inc.,Rockwell Automation,13 Groton-Harvard Rd,Ayer,MA,1432,(978) 486-9220,http://www.applewoodcontrols.com/,4,22,0.18,Randy Furmanick,President,randyf@applewoodcontrols.com
A,,"Applied Automation Controls, Inc.","automation components, controls",1240 Wolf Street,Syracuse,NY,13208,(315) 453-5670,www.appliedautomation.com,6.3,25,0.25,Thomas Swenton,President,tswenton@appliedautomation.com
I,,Applied Control Engineering Inc. - Rocky Mountain,Rockwell Automation,"4704 N Harlan St, Suit 511",Denver,CO,80212,(720) 260-4971,www.ace-net.com,21.3,126,0.17,"Ian P. Burns, P.E., CFSP",President,burnsi@ace-net.com
I,,"Applied Control Systems, Inc.","Wonderware, Rockwell Automation ,ABB",426 S. Main St.,Pittsburgh,PA,15220,(412) 921-3226,www.appliedcontrolsystems.com,4,22,0.18,Rich Velan,President,rich@acspit.com
I,,"Applied Control Technologies, Inc.",Integrator Guide,810 Dutch Square Boulevard Suite 395,Columbia,SC,29201,(803) 731-5544,www.actsc.com,5,25,0.20,Russell Tomlinson ,President,russell.tomlinson@actsc.com
A,,"Applied Controls, Inc.",Parker; Siemens; Universal,47 General Warren Blvd.,Malvern,PA,19355,(610) 408-8000,www.appliedc.com,17,35,0.49,Rick Gehring,President/ CEO,r.gehring@appliedc.com
R,C,Applied Dynamics Corporation,"Siemens, Baldor, Danfoss, electric motor services,",38 Butternut St,Greenfield,MA,1301,(413) 774-7268,http://applied-dynamics.com/,9.2,34,0.27,Mike Hogan,CEO,
I,,Applied Electronics Corporation,Integrator Guide,810 Dutch Square Boulevard Suite 395,Columbia,SC,29201,(803) 731-5544,www.actsc.com,1,25,0.04,Russell Tomlinson ,President,russell.tomlinson@actsc.com
F,,"Applied Energy Company, LLC",Fluid power,2650 Merritt Rd,Sachse,TX,75048,(214) 355-4200,www.appliedenergyco.com,36,69,0.52,Claude Badgett,President/Owner,
I,,"Applied Engineering Solutions, Inc. (aeSolutions)","Alarm management, migrations and upgrades, fired equipment, conbustible and toxic gas, machiners safety, process safety, project management, SIS engineering","250 Commonwealth Dr, Suite 200",Greenville,SC,29615,(864) 676-0600,aesolutions.com,12.2,47,0.26,Brian Merriman,President & CEO,ken.omalley@aesolns.com
D,,Applied Fluid Power Industries Inc. (AFP),Deison; Parker; ,7900 Whitepine Rd,Richmond,VA,23237,(804) 275-1436,www.afpind.com,50,60,0.83,Richard Kish,Prseident,r.kish@afpind.com
I,,Applied Industrial Controls,"Industrial Motor Controls, Drives, Water/Wastewater Variable Frequency Drives, and Firetrol Products","1860 S Lee Ct NE,",Buford,GA,30518,(770) 614-7022,http://www.aic-controls.com/,6,32,0.19,Bill Cousar,Principal,bill@aic-controls.com
I,,Applied Intelligence Corporation,Integrator Guide,10676 Pleasant St,Noblesville,IN,46060,(317) 849-7483,www.appliedintelligencecorp.com,4,12,0.33,Dan Wittekind,Owner,
A,,"Applied Machine & Motion Control, Inc. (Motion Ai)",Yaskawa; Exor,1491 Dixie Highway,Park Hills,KY,41011,(844) 655-2662,ai.motion.com,5.3,25,0.21,Credo Amouzouvik,CEO,
I,,Applied Manufacturing Technologies,"Siemens, Rockwell Automation",219 Kay Industrial Drive,Orion,MI,48359,(248) 409-2000,www.appliedmfg.com,25.2,120,0.21,Michael Jacobs,President,michael.jacobs@appliedmfg.com 
I,,"Applied Motion Systems, Inc.",Integrator Guide,1450 NE 138th Ave,Vancouver,WA,98684,(360) 253 4810,www.appliedmotionsystems.com,13.4,63,0.21,Ken Brown ,CEO,kbrown@appliedmotionsystems.com
I,,APQ Engineering,Rockwell Automation,211 Aspen Ave S,Menahga,MN,56464,(218) 564-7832,http://www.apqengineering.com/,1.2,6,0.20,Aaron Lehto,Owner,alehto@apqengineering.com
I,,"Aqua Sierra Controls, Inc.","Wonderware, Inductive",1650 Industrial Dr,Auburn,CA,95603,(530) 823-3241,http://www.aquasierra.com,4,25,0.16,Les Watson,President,lwatson@aquasierra.com
I,,Aquacare Environment Inc,"Fish Farming Tanks, Fish Feeding Systems, Aquaponics, Aquacare Radial Flow Separator,Aquacare Microscreen Filters, Aquacare Biofilters, Oxygenation in Commercial Fish Farms – OxyFlow®, Fish Farming Pumps, Internet-Based Monitoring & Control, Waste-to-Energy Systems, Wetland Effluent Treatment Systems, MxCell",708 Coho Way,Bellingham,WA,98225,(360) 734-7964,https://aquacare.com/,6.3,10,0.63,Henning Gatz,President,hgatz@aquacare.com
I,,Arapahoe Controls,"Electrical control panel design and fabrication, Ladder logic programming, HMI screen development, Domestic and International electrical construction management ",12470 York St. Unit 10,Eastlake,CO,80614,(303) 902-8789,https://www.arapahoecontrols.com/,5,25,0.20,Tim Martin,Controls Owner,tmartin@arapahoecontrols.co
